School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Toronto Art Academy,668739,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Bowyer,,,"105 Moatfield Drive, 11th Flo Blvd.",Toronto,Ontario,M3B0A4,905-739-8092,,East Region,www.torontoartacademy.com,Secondary,Not applicable,Online/Site Based,No
Toronto Central Academy,885489,Offers credits toward the Ontario Secondary School Diploma (OSSD),George Vanderkuur,,,200 Sheppard Avenue East,Toronto,Ontario,M2N3A9,416-850-8889,416-225-9606,Central Region,www.tacademy.ca,Secondary,All Year Round,Online/Site Based,No
"Toronto Cheder, The",877140,,ARTHUR BIRENBAUM,,,475 Patricia Ave,Toronto,Ontario,M2R2N1,416-636-2987,416-636-9346,Central Region,torontocheder.org,Elementary,Not applicable,Site based only,No
Toronto District Christian High School,886777,Offers credits toward the Ontario Secondary School Diploma (OSSD),William Groot,,,377 Woodbridge Avenue,Woodbridge,Ontario,L4L2V7,905-851-1772,905-851-9992,Central Region,http://www.tdchristian.ca,Secondary,Not applicable,Site based only,Edvance Christian Schools
Toronto Education International,669569,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Salman Qureshi,,,55 Village Centre Place,Mississauga,Ontario,L4Z1V9,647-891-8719,,Central Region,torontoeducation.ca,Secondary,All Year Round,Online Only,No
Toronto Elite School,882668,Offers credits toward the Ontario Secondary School Diploma (OSSD),Agnes Wu,,,79 Warren Bradley Street,Markham,Ontario,L6C2X4,647-809-0222,,Central Region,,Secondary,Not applicable,Online/Site Based,No
Toronto Eschool,886520,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Bowyer,Unit 1107,,105 Moatfield Dr.,Toronto,Ontario,M3B0A2,416-637-2632,,East Region,https://ossd.torontoeschool.com/,Secondary,Not applicable,Online Only,No
Toronto French Montessori School,666718,,Marie Mousa,,,38 Ellerslie Ave. Avenue,North York,Ontario,M2N1X8,416-250-9952,,Central Region,www.torontofrenchmontessori.com,Elementary,Not applicable,Site based only,Association of Christian Schools International
Toronto French School,887072,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ann François,,,306 Lawrence Ave E,Toronto,Ontario,M4N1T7,416-484-6533,416-488-2928,Toronto Region,www.tfs.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
"Toronto Heschel School, The",877638,,Alan Rusonik,,,819 Sheppard Ave W,Toronto,Ontario,M3H2T3,416-635-1876,416-635-1800,Central Region,http://www.torontoheschel.org,Elementary,Not applicable,Site based only,Board of Jewish Education
Toronto Heuristic International Academy,883858,Offers credits toward the Ontario Secondary School Diploma (OSSD),Huan Liu,,,513 McNicoll Avenue,Toronto,Ontario,M2H2C9,416-800-7638,,Central Region,www.thiacademy.ca,Secondary,Not applicable,Online/Site Based,No
Toronto High School,882401,Offers credits toward the Ontario Secondary School Diploma (OSSD),Hassan Mirzai,213,,7191 Yonge Street,Markham,Ontario,L4C9M5,416-227-1177,,Central Region,www.TorontoHighSchool.ca,Elem/Sec,Not applicable,Online/Site Based,No
Toronto Imperial School,881941,Offers credits toward the Ontario Secondary School Diploma (OSSD),Salman Qureshi,511,,1235 Bay Street,Toronto,Ontario,M5R3K4,289-952-2058,,Central Region,https://torontoimperial.com?,Secondary,All Year Round,Online Only,No
Toronto International Academy,666629,Offers credits toward the Ontario Secondary School Diploma (OSSD),Martin Melkoumian,223,,1140 Burnhamthorpe Road West,Mississauga,Ontario,L5C4E9,905-615-1011,905-615-1029,Central Region,www.tiaschools.com,Elem/Sec,All Year Round,Online/Site Based,No
Toronto International College,665800,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anchuan Jiang,430,,3550 Victoria Park Avenue,Toronto,Ontario,M2H2N5,416-498-9299,416-498-8366,Central Region,www.ticedu.ca,Secondary,All Year Round,Online/Site Based,OFIS
Toronto International Collegiate,669195,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chenxi Helen Gao,105,,80 Acadia Avenue,Markham,Ontario,L3R9V1,905-470-2728,,Central Region,www.ticollegiate.com,Secondary,Not applicable,Site based only,No
Toronto International Oslife School,665471,Offers credits toward the Ontario Secondary School Diploma (OSSD),DAVE MITRO,204,,2227 South Millway,Mississauga,Ontario,L5L3R6,905-276-4545,,Central Region,www.tioschool.com,Secondary,Not applicable,Online/Site Based,No
Toronto International School,667508,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zahra Hemmati,,,"20 Tangreen Court, 2nd Floor",North York,Ontario,M2M3Y9,647-996-9137,,Central Region,,Secondary,All Year Round,Online Only,No
Toronto Nature School,883117,,Julia Donnelly ONeill,,,"2245 Queen Street East, lower level",Toronto,Ontario,M4E1G1,416-629-9105,,Toronto Region,Www.Toronto nature school.ca,Elementary,Not applicable,Site based only,No
Toronto Prep School,886362,Offers credits toward the Ontario Secondary School Diploma (OSSD),Peter Tsimikalis,200 & 500,,250 Davisville Avenue,Toronto,Ontario,M4S1H2,416-545-1020,,Toronto Region,,Elem/Sec,Not applicable,Site based only,Ontario Federation of Independant Schools
Toronto STEM School,884354,Offers credits toward the Ontario Secondary School Diploma (OSSD),Hamed Bahador,,,285 Eglinton Avenue East,Toronto,Ontario,M4P1L3,647-350-0628,,Toronto Region,www.torontostemschool.com,Secondary,Not applicable,Site based only,AP
Toronto Scholars' Collegiate,665640,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sneha Abraham,Unit 8,,60 Riviera Drive,Markham,Ontario,L3R5M1,647-346-7460,,East Region,www.torontosc.com,Secondary,Not applicable,Online/Site Based,No
Toronto Science Academy,667107,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abdurrahman Cetin,314,,1110 Finch Ave W,North York,Ontario,M3J2T2,613-876-9960,,Toronto Region,tsacademy.ca,Secondary,All Year Round,Online Only,No
Toronto Seed Care High School,886611,Offers credits toward the Ontario Secondary School Diploma (OSSD),Joong Kyu Kim,10th Floor,,4711 Yonge St,Toronto,Ontario,M2N6K8,647-446-2580,,Toronto Region,tschighschool.com,Secondary,Not applicable,Online Only,No
Toronto Trinity Collegiate,669020,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,108,,200 Town Centre Boulevard,Markham,Ontario,L3R8G5,905-763-8788,,Central Region,www.torontotrinity.ca,Secondary,All Year Round,Online/Site Based,No
Toronto Waldorf School,887790,Offers credits toward the Ontario Secondary School Diploma (OSSD),Helene Gross,Unit 1,,9100 Bathurst St,Thornhill,Ontario,L4J8C7,905-881-1611,905-881-6710,Central Region,www.torontowaldorfschool.com,Elem/Sec,Not applicable,Site based only,Association of Waldorf Schools of North America
Toronto West Academy,665377,,Shirley Wu,600,,77 Bloor Street West,Toronto,Ontario,M5S1M2,416-628-4339,,Toronto Region,torontowestacademy.ca,Elementary,Not applicable,Online/Site Based,No
Toronto World School,885305,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Gallo,205,,5170 Dixie Road,Mississauga,Ontario,L4W1E3,647-824-7578,,East Region,www.torontoworldschool.com,Elem/Sec,All Year Round,Online/Site Based,No
Toronto Zoo,888183,Offers credits toward the Ontario Secondary School Diploma (OSSD),Steve Jones,A,,361 OLD FINCH AVE,TORONTO,Ontario,M1B5K7,416-392-5944,,East Region,www.torontozoo.com,Secondary,Summer,Online/Site Based,No
Toronto eLearning School,883367,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Bowyer,Unit 1105,,105 Moatfield Dr,North York,Ontario,M3B0A2,647-313-0131,,Central Region,https://torontoelearningschool.com,Secondary,Not applicable,Online Only,No
Town Centre Private School - Pre-School,883875,,Rocco Lamanna,,,155 Clayton Dr,Markham,Ontario,L3R7P3,905-470-1200,905-470-0184,Central Region,www.tcmps.com,Elementary,Not applicable,Online/Site Based,OFIS
Town Centre Private Schools - High School,666810,Offers credits toward the Ontario Secondary School Diploma (OSSD),Leepy Hajra,,,155 CLAYTON DR,MARKHAM,Ontario,L3R7P3,905-470-1200,905-470-1721,Central Region,www.tcphs.com,Secondary,All Year Round,Online/Site Based,OFIS
Trafalgar Castle School,886700,Offers credits toward the Ontario Secondary School Diploma (OSSD),Melissa Knight-Johnson,,,401 Reynolds St,Whitby,Ontario,L1N3W9,905-668-3358,905-668-4136,East Region,http://www.trafalgarcastle.ca,Elem/Sec,Not applicable,Site based only,Canadian Association of Independent Schools
Trafalgar Ridge Montessori School,665967,,Sandrine Lescure,Unit 6,,2379 Trafalgar Rd,Oakville,Ontario,L6H6K7,905-257-5955,,Central Region,www.trms.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Trail Ridge Montessori School,884483,,Ada DeLong,,,18 Elizabeth St,Grimsby,Ontario,L3M3K3,905-945-1490,,West Region,www.trailridge.ca,Elementary,Not applicable,Site based only,adco
Trails Youth Initiatives,665231,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mel Millward,,,15599 Warden Ave,Stouffville,Ontario,L4A2M9,905-836-0100,,Central Region,www.trails.ca,Secondary,Not applicable,Site based only,No
Trenton Christian,886572,,Allen Bron,,,340 Second Dug Hill Rd 4,Trenton,Ontario,K8V5P7,613-392-3600,613-392-6316,East Region,www.trentonchristianschool.com,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Trenton Collegiate Institute,669949,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Dan Trafford,,,83 Marmora,Trenton,Ontario,K8V3S5,705-345-9499,,East Region,www.trentonschool.com,Elem/Sec,Not applicable,Online/Site Based,No
Trillium School,875511,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lily Moon,,,4277 14th Ave,Markham,Ontario,L3R0J2,905-946-1181,905-946-8267,Central Region,http://www.trilliumschool.ca/,Elem/Sec,Not applicable,Site based only,No
Trillium Waldorf School,877549,,Stefanie Ly,,,540 Victoria Road North,Guelph,Ontario,N1E6Z4,519-821-5140,,West Region,www.guelphwaldorf.ca,Elementary,Not applicable,Site based only,Association of Waldorf Schools of North America
Trinity Academy of Canada,887000,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jay Z,102,,27 West Beaver Creek Road,Richmond Hill,Ontario,L4B1M8,647-272-3166,,Central Region,www.trinitycanada.ca,Secondary,Not applicable,Online Only,No
Trinity Christian School,885240,,Jean-Daniel Lussier,,,2170 Itabashi Way,Burlington,Ontario,L7M5B3,905-634-3052,905-634-9382,West Region,www.tcsonline.ca,Elementary,Not applicable,Site based only,Ontario Association of Christian Schools- Edvance
Trinity College School,886254,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jennifer Reid,,,55 Deblaquire St N,Port Hope,Ontario,L1A4K7,905-885-3217,905-885-9690,East Region,http://www.tcs.on.ca,Elem/Sec,All Year Round,Site based only,CAIS-Conference of Independent Schools
Trinity International School,887123,Offers credits toward the Ontario Secondary School Diploma (OSSD),Manal Labib,201,,132 King Rd.,Richmond Hill,Ontario,L4E2T5,416-820-6770,,Central Region,www.TISSchool.ca,Elem/Sec,All Year Round,Online Only,No
Trinity Montessori School,665215,,Elena Ho,,,9211 Woodbine Ave,Markham,Ontario,L3R0K1,905-948-8993,905-948-8983,Central Region,www.trinitymontessori.ca,Elementary,Not applicable,Site based only,"CCMA, OFIS"
Trinity Ontario High School,669198,Offers credits toward the Ontario Secondary School Diploma (OSSD),Reshma Mukadam,104,,5800 Ambler Drive,Mississauga,Ontario,L4W4J4,647-949-3769,,Central Region,www.cfaonline.ca,Secondary,All Year Round,Online/Site Based,No
Triple Hills,886194,,Lucinda Martin,,,90848 Jeffray Line 2,Wingham,Ontario,N0G2W0,,,West Region,,Elementary,Not applicable,Site based only,Orthodox Mennonite School
True North Academy,884816,,Lisa Cooke,,1270,202 Ontario Street,Stayner,Ontario,L0M1S0,705-428-5144,,Central Region,www.truenorthacademy.ca,Elementary,Not applicable,Site based only,ACSI
True North Christian Academy,876496,,David Wilson,,,599 Government St.,Dryden,Ontario,P8N0A2,807-223-5504,,North Region,,Elem/Sec,Not applicable,Site based only,No
True North Institute (International),884813,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Oi'Cheri Ling,203,,7050 Woodbine Avenue,Unionville,Ontario,L3R6G2,647-350-5588,647-350-5588,East Region,www.tnii.ca,Secondary,All Year Round,Online/Site Based,No
Turnberry Parochial School,876305,,Annie Martin,,,89913 Powell Line 1,Wingham,Ontario,N0G2W0,,,West Region,,Elementary,Not applicable,Site based only,Orthodox Mennonite Parochial Schools
Turnbull School,668681,,Craig Dunn,,,1132 Fisher Avenue,Ottawa,Ontario,K1Z6P7,613-729-2273,613-729-1636,East Region,www.turnbull.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
U.C. Berkshire School,882724,Offers credits toward the Ontario Secondary School Diploma (OSSD),Hao Ming Gu,202,,255 King St N,Waterloo,Ontario,N2J4V2,,,West Region,www.ucbschool.ca,Secondary,Not applicable,Online/Site Based,No
UFuture Virtual Academy,889219,,Antonette Ramagano,,,2 Simonston Boulevard,Markham,Ontario,L3T4L1,416-820-5006,,Central Region,,Secondary,Not applicable,Online/Site Based,No
UMC High School,666482,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ali Samater,,,425 McCowan Road,Scarborough,Ontario,M1J1J1,416-438-0707,,East Region,www.umchighschool.com,Elem/Sec,Not applicable,Online/Site Based,No
UMC High School – Eglinton Campus,888748,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ali Samater,7th fl,,150 Eglinton Avenue East,Toronto,Ontario,M4P1E8,416-221-1226,,Toronto Region,www.umchighschool.com,Secondary,All Year Round,Online Only,No
UMCA Rich Tree Academy,668410,Offers credits toward the Ontario Secondary School Diploma (OSSD),Suzana Pinsky,Suite S240,,9600 Bathurst St.,Thornhill,Ontario,L6A3Z8,905-763-8622,905-763-2105,Central Region,www.umca.ca,Elem/Sec,All Year Round,Online/Site Based,No
USCA Academy,881623,Offers credits toward the Ontario Secondary School Diploma (OSSD),dazhuan lu,2187,,2187 Dunwin Drive,Mississauga,Ontario,L5L1X2,905-232-0411,,Central Region,www.uscaacademy.com,Elem/Sec,All Year Round,Online/Site Based,No
UT Preparatory Academy,881924,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tony Chang,,,205 Sparks Avenue,Toronto,Ontario,M2H2S5,647-557-0917,647-557-0919,Central Region,www.utpa.ca,Secondary,All Year Round,Site based only,No
UVA School,883147,Offers credits toward the Ontario Secondary School Diploma (OSSD),ANTONIETTA RAMAGNANO,1005,,3601 Hwy7 East,Markham,Ontario,L3R0M3,416-567-4352,,East Region,http://uvaschool.org,Secondary,All Year Round,Online/Site Based,Independent Private School Forum (IPSF)
Uchenna Academy,884350,Offers credits toward the Ontario Secondary School Diploma (OSSD),Careen McNee,WEST,,950 Dupont Street,Toronto,Ontario,M6H1Z2,416-855-5572,,Toronto Region,www.uchenna.ca,Elem/Sec,Not applicable,Online/Site Based,No
Um Al-Qura Islamic School,665614,,Husnah Al-Mashtouli,205,,41 Metropolitan Rd,Scarborough,Ontario,M1R2T5,416-443-3557,416-443-3557,East Region,www.umalqura.ca,Elementary,Not applicable,Site based only,No
Ummati Learning Center,669116,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abdul Raheem Sharif,200,,205 County Court Boulevard,Brampton,Ontario,L6W4R6,647-909-6490,,Central Region,ummaticentre.ca,Elem/Sec,Not applicable,Site based only,No
Ummati School,665201,Offers credits toward the Ontario Secondary School Diploma (OSSD),Noor-ud-din Ghauri,,399,111 Church Street North,Orono,Ontario,L0B1M0,289-600-0914,,East Region,www.ummati.ca,Elem/Sec,All Year Round,Site based only,Ummati Board
Union Education Academy,886480,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zerin Ahmed,,,25 Ridgewood Drive,Richmondhill,Ontario,L4E3M1,647-671-4448,,Central Region,https://www.ueacademy.ca/,Secondary,All Year Round,Online/Site Based,No
Unionville Academy,668892,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tiancheng Kuang,202,,24 Drewry Avenue,North York,Ontario,M2M1C8,905-604-2163,905-415-2167,Central Region,www.unionvilleacademy.com,Elem/Sec,All Year Round,Online/Site Based,Ontario Federation of Independent School
"Unionville College, Montessori and Eleme",889728,,David Treherne,,,4486 16th Avenue,Unionville,Ontario,L3R0M1,905-474-9888,,Central Region,www.unionvillemontessori.com,Elementary,Not applicable,Site based only,No
"Unionville College, Secondary School",877433,Offers credits toward the Ontario Secondary School Diploma (OSSD),Patrick McCarthy,,,3844 Stouffville Road,Unionville,Ontario,L4A7X5,905-474-9888,905-474-5767,Central Region,www.unionvillemontessori.com,Elem/Sec,Not applicable,Site based only,No
Unique Chinese School - 1,884124,,Lian Liu,21,,4271 Sheppard Avenue East,Scarborough,Ontario,M1S4G4,647-998-0928,,East Region,,Elementary,Not applicable,Site based only,No
Unique Chinese School - 2,665953,,Amelia Lin,,,3143 Sheppard Avenue East,Scarborough,Ontario,M1T3J7,647-998-0928,,East Region,www.chinesenumber1.com,Elementary,Not applicable,Site based only,No
United Mennonite Educational Institute,885800,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sonya Bedal,,,"614 Mersea Rd 6, RR #5",Leamington,Ontario,N8H3V8,519-326-7448,519-326-0278,West Region,http://www.umei.ca,Secondary,Not applicable,Site based only,CAMS
United Scholastic Academy Scarborough,665409,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chris Sarellas,main floor of 2202,,2206 Eglinton Ave E,Scarborough,Ontario,M1L2N3,416-554-8163,,Toronto Region,,Secondary,Not applicable,Online/Site Based,No
Unity Christian High School,667366,Offers credits toward the Ontario Secondary School Diploma (OSSD),Allen Schenk,,,25 Burton Avenue,Barrie,Ontario,L4N2R3,705-792-6915,705-792-2389,Central Region,www.unitychristianhigh.ca,Secondary,Not applicable,Site based only,Ontario Alliance of Christian Schools
University of Toronto Schools,667510,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rosemary Evans,,,371 BLOOR ST WEST Street,Toronto,Ontario,M5S2R7,416-978-3212,416-978-6775,Toronto Region,http://www.utschools.ca,Elem/Sec,All Year Round,Site based only,CIS Ontario
Upper Canada College,886858,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samuel McKinney,,,200 Lonsdale Rd,Toronto,Ontario,M4V1W6,416-488-1125,,Toronto Region,http://www.ucc.on.ca/,Elem/Sec,Not applicable,Site based only,Canadian Accredited Independent Schools www.cais.ca
Upper Hull Secondary School,882187,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ann Wang,,,145 Idema Road,Markham,Ontario,L3R1A9,888-906-1996,,Central Region,www.upperhull.com,Secondary,All Year Round,Online Only,OFIS
Upper York School,668518,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lydia Gao,,,2832 16th Avenue,Markham,Ontario,L3R0K8,905-604-4622,,Central Region,upperyorkschool.ca,Elem/Sec,Not applicable,Online/Site Based,No
Urban International High School - North,885905,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ahram Ham,,,2 Champagne Drive,Toronto,Ontario,M3J0K2,416-483-9174,,Central Region,,Elem/Sec,All Year Round,Online Only,No
Urban International School,885115,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ahram Ham,,,1107 Finch Avenue West,North York,Ontario,M3J2C5,416-924-1011,416-921-1011,Toronto Region,www.uihs.ca,Secondary,All Year Round,Site based only,No
Urban Village Academy,667866,,Amy Arbour,,,L - 576 Bryne Drive,Barrie,Ontario,L4N9P6,705-722-5439,,Central Region,Www.urbanvillageacademy.com,Elementary,Not applicable,Site based only,No
Uxbridge Montessori School,876453,,Maria Gonyea,,,167 Main St N,Uxbridge,Ontario,L9P1C3,905-852-6377,,East Region,www.uxbridgemontessori.com,Elementary,Not applicable,Site based only,No
VES School,883703,Offers credits toward the Ontario Secondary School Diploma (OSSD),May Phan,4,,16 Esna Park Dr,Markham,Ontario,L3R5X1,647-896-6362,,Central Region,ves-canada.com,Secondary,All Year Round,Online Only,No
Vantage Academy,668451,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rosaura Ortiz,227,,7181 Woodbine Avenue,Markham,Ontario,L3R1A5,647-704-6922,,Central Region,http://vantageacademy.ca,Secondary,All Year Round,Online Only,No
Vaughan College,666098,Offers credits toward the Ontario Secondary School Diploma (OSSD),Franco MARCHESE,# 3,,9121 Weston RD,Woodbridge,Ontario,L4H0L4,905-265-9229,,Central Region,www.vaughancollege.ca,Secondary,Not applicable,Site based only,Learning Centres
Vedic Roots Montessori Academy,668835,,Sonam Agarwal,,,5816 Sheppard Ave E,Scarborough,Ontario,M1B4Z6,416-844-2937,,Toronto Region,Www.vedicroots.ca,Elementary,Not applicable,Site based only,No
Vega Academy,665527,Offers credits toward the Ontario Secondary School Diploma (OSSD),,498,,700 Lawrence Avenue West,North York,Ontario,M6A3B4,647-730-5566,,Toronto Region,www.vegaacademy.ca,Elem/Sec,Not applicable,Online/Site Based,No
Verideia Classical Christian Academy,888664,,Trevor Long,,N2N 0A7,1780 Glasgow Street,Kitchener,Ontario,N2N0A7,519-746-0008,519-746-4206,West Region,www.verideia.com,Elementary,Not applicable,Site based only,No
Vezina,663263,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shoukat Ali,,219,15 Seven Street,Attawapiskat,Ontario,P0L1A0,705-997-2117,705-997-2357,North Region,www.afnea.com,Secondary,First Nation,Site based only,No
Victoria Academy,884963,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Alex Fan,,,9225 Leslie Street,Richmond Hill,Ontario,L4B3H6,819-328-6489,,Toronto Region,www.vaon.ca,Secondary,Not applicable,Online/Site Based,No
Victoria School,665358,Offers credits toward the Ontario Secondary School Diploma (OSSD),Norman Ming Zhang,Unit 11,,1155 North Service Road West,Oakville,Ontario,L6M3E3,905-616-1618,,West Region,,Secondary,Not applicable,Online Only,No
Victus Academy,669153,Offers credits toward the Ontario Secondary School Diploma (OSSD),Robert Furfaro,,,35 Sportsworld Crossing Road,Kitchener,Ontario,N2P0A5,519-219-5900,226-806-0230,West Region,www.victusacademy.com,Elem/Sec,Not applicable,Site based only,No
Vincent Massey Academy Day School,665636,,Amber Halcovitch,,,68 Daisy Avenue,Etobicoke,Ontario,M8W1S1,416-252-3304,,West Region,vincentmassey.com,Elementary,Not applicable,Site based only,No
Vineridge Academy,669681,Offers credits toward the Ontario Secondary School Diploma (OSSD),Michael VENTRESCA,,,1875 Niagara Stone Road,Niagara-on-the-Lake,Ontario,L0S1J0,289-868-9200,289-868-8873,West Region,www.vineridge.ca,Secondary,Not applicable,Online/Site Based,No
Virgil Old Colony Christian School,665347,,Susana Loewen,,,565 East West Line,Niagara-on-the-Lake,Ontario,L0S1J0,905-468-5028,905-468-0334,West Region,,Elementary,Not applicable,Site based only,No
Virtual Elementary School,883303,,Stephen Baker,,402,27 Main Street N,Bayfield,Ontario,N0M1G0,866-679-9377,519-565-4100,West Region,www.virtualelementaryschool.com,Elementary,Not applicable,Online Only,No
Virtual High School,665681,Offers credits toward the Ontario Secondary School Diploma (OSSD),Stephen Baker,,402,27 Main Street North,Bayfield,Ontario,N0M1G0,866-679-9377,519-565-4100,West Region,www.VirtualHighSchool.com,Secondary,All Year Round,Online Only,No
Virtute Innovation Academy,880681,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anson Liaw,,,100 East Beaver Creek Road,Richmond Hill,Ontario,L4B1J6,416-738-8896,,Central Region,www.viaschool.ca,Secondary,All Year Round,Online Only,No
Visionary Academy,883339,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dan Bowyer,11th floor,,105 Moatfield Drive,Toronto,Ontario,M3B0A4,905-739-8092,,East Region,,Secondary,Not applicable,Online/Site Based,No
Voice Integrative Private School,665142,,Kristin McCullough,,,50 Gristmill Lane,Toronto,Ontario,M5A3C4,416-691-4639,416-691-3722,Toronto Region,http://www.voiceintegrative.com,Elementary,Not applicable,Site based only,No
WE International Academy,668665,Offers credits toward the Ontario Secondary School Diploma (OSSD),Becky Yin,,,33 MALLARD ROAD,TORONTO,Ontario,M3B1S4,905-707-9998,,Central Region,www.westfieldeducation.ca,Elem/Sec,Not applicable,Online/Site Based,No
WONDERfield: for Charlotte Mason educati,668344,,Jennifer Gagnon,,,111 Queen Street,Kingsville,Ontario,N9Y2A1,519-990-4459,,West Region,,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Wahsa Distance Education Centre,663727,Offers credits toward the Ontario Secondary School Diploma (OSSD),Darryl Tinney,,Box 1118,74 Front Street,Sioux Lookout,Ontario,P8T1B7,807-737-1488,807-737-1732,North Region,http://www.nnec.on.ca/index.php/wahsa-distance-education/,Secondary,First Nation,Online/Site Based,No
Walden International School,667399,,Daphne Perugini,,,"2035 Upper Middle rd E,",Oakville,Ontario,L6H7G6,905-338-6236,,Central Region,www.waldeninternationalschool.com,Elementary,Not applicable,Site based only,No
Waldorf Academy,884693,,Jones Conor,,,250 Madison Ave,Toronto,Ontario,M4V2W6,416-962-6447,416-975-5513,Toronto Region,www.waldorfacademy.org,Elementary,Not applicable,Site based only,Association of Waldorf Schools of North America
Wales College Secondary School,669384,Offers credits toward the Ontario Secondary School Diploma (OSSD),AMY PATEL,,,56 Redlea Ave,Toronto,Ontario,M1V4S3,416-299-9966,416-299-1577,East Region,www.walescollege.ca,Secondary,All Year Round,Online/Site Based,No
Walford Parochial School,668527,,Miriam Sauder,,,23 River Road West,Massey,Ontario,P0P1P0,,,Central Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Wali ul Asr School,881389,Offers credits toward the Ontario Secondary School Diploma (OSSD),SYED MOHSIN ZAIDI,,,84 Simpson Road Rd,Caledon,Ontario,L7E4G2,905-951-6146,,Central Region,http://www.waliulasr.ca,Elem/Sec,All Year Round,Online/Site Based,No
Wali ul Asr School -GTA West Campus,665704,,Mahawish Bhojani,,,7580 Kennedy Road,Brampton,Ontario,L6W0A1,905-457-9254,,Central Region,www.waliulasr.ca,Elementary,Not applicable,Site based only,No
Wallaceburg Christian Private School,886610,,Season Hoogstad,,,693 Albert Street,Wallaceburg,Ontario,N8A1Y8,519-627-6013,519-627-5051,West Region,www.wallaceburgchristianschool.com,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Walsingham Christian School,876852,,Marten Klassen,,3 comp 2,1 Concession Road 6 1,Walsingham,Ontario,N0E1X0,519-586-3812,519-586-9489,West Region,,Elem/Sec,Not applicable,Site based only,No
Warwick Academy,669924,,Christina Tung,84,,556 Edward Avenue,Richmond Hill,Ontario,L4C9Y5,416-826-6883,,Central Region,,Secondary,Not applicable,Online/Site Based,No
Warwick Secondary School,669971,,Christina Tung,24,,7170 Warden Avenue,Markham,Ontario,L3R8B4,365-608-5886,,Central Region,www.warwickss.ca,Secondary,Not applicable,Online/Site Based,No
Waterdown Islamic School (WIS),665956,,Irshad Rashid,,,20 Innovation Drive,Dundas,Ontario,L9H7P3,289-895-8765,,West Region,www.wmcc.ca,Elementary,Not applicable,Site based only,No
Waterdown Montessori School,883800,,Mary Benak,,,1921 Snake Road,Burlington,Ontario,L7P4Y2,905-689-2171,,West Region,,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
Waterloo Independent Secondary School,668370,Offers credits toward the Ontario Secondary School Diploma (OSSD),Amy Robinson,,,435 King Street North,Waterloo,Ontario,N2J2Z5,226-647-8000,519-804-6490,West Region,www.waterlooss.ca,Elem/Sec,Not applicable,Online/Site Based,No
Ways Ivy Academy,668627,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samantha Schmidt,305,,350 Highway 7,Richmond Hill,Ontario,L4B3N2,647-893-5656,,Toronto Region,waysivy.com,Secondary,All Year Round,Online Only,No
