Topic,Characteristics,,Total
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,,5665
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,,680
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,,4830
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,,155
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,,2345
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,,1030
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,,20
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,,25
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,,905
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,,370
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,,10
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,,59590
Major field of study - Classification of Instructional Programs (CIP) 2016,  No postsecondary certificate; diploma or degree,,15510
Major field of study - Classification of Instructional Programs (CIP) 2016,  Education,,2340
Major field of study - Classification of Instructional Programs (CIP) 2016,    13. Education,,2340
Major field of study - Classification of Instructional Programs (CIP) 2016,  Visual and performing arts; and communications technologies,,1370
Major field of study - Classification of Instructional Programs (CIP) 2016,    10. Communications technologies/technicians and support services,,250
Major field of study - Classification of Instructional Programs (CIP) 2016,    50. Visual and performing arts,,1115
Major field of study - Classification of Instructional Programs (CIP) 2016,  Humanities,,2605
Major field of study - Classification of Instructional Programs (CIP) 2016,    16. Aboriginal and foreign languages; literatures and linguistics,,200
Major field of study - Classification of Instructional Programs (CIP) 2016,    23. English language and literature/letters,,725
Major field of study - Classification of Instructional Programs (CIP) 2016,    24. Liberal arts and sciences; general studies and humanities,,1010
Major field of study - Classification of Instructional Programs (CIP) 2016,    30A Interdisciplinary humanities,,15
Major field of study - Classification of Instructional Programs (CIP) 2016,    38. Philosophy and religious studies,,110
Major field of study - Classification of Instructional Programs (CIP) 2016,    39. Theology and religious vocations,,95
Major field of study - Classification of Instructional Programs (CIP) 2016,    54. History,,340
Major field of study - Classification of Instructional Programs (CIP) 2016,    55. French language and literature/letters,,115
Major field of study - Classification of Instructional Programs (CIP) 2016,  Social and behavioural sciences and law,,5945
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,,40
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,,600
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,,1065
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,,875
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,,70
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,,925
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,,2370
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,,11660
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,,15
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,,600
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,,11045
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,,2215
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,,1020
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,,595
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,,25
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,,480
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,,90
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,,3070
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,,2600
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,,75
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,,360
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,,30
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,,7710
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,,410
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,,3285
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,,1395
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,,0
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,,935
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,,1185
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,,500
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,,485
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,,300
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,,185
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,,4775
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,,585
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,,4060
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,,135
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,,1905
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,,790
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,,20
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,,10
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,,790
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,,300
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,,10
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,,0
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,,80555
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,29290
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,,51270
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,,35085
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,,32675
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,,2410
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,,16185
Location of study compared with province or territory of residence with countries outside Canada,      United States,,1490
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,,1345
Location of study compared with province or territory of residence with countries outside Canada,      India,,2495
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,,1295
Location of study compared with province or territory of residence with countries outside Canada,      China,,480
Location of study compared with province or territory of residence with countries outside Canada,      France,,55
Location of study compared with province or territory of residence with countries outside Canada,      Other,,9025
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,,59590
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,15510
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,,44080
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,,30200
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,,28200
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,,1995
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,,13880
Location of study compared with province or territory of residence with countries outside Canada,      United States,,1365
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,,1185
Location of study compared with province or territory of residence with countries outside Canada,      India,,2195
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,,865
Location of study compared with province or territory of residence with countries outside Canada,      China,,400
Location of study compared with province or territory of residence with countries outside Canada,      France,,50
Location of study compared with province or territory of residence with countries outside Canada,      Other,,7830
Labour force status,Total - Population aged 15 years and over by Labour force status - 25% sample data,,80560
Labour force status,  In the labour force,,59815
Labour force status,    Employed,,56485
Labour force status,    Unemployed,,3330
Labour force status,  Not in the labour force,,20740
Labour force status,Participation rate,,74.2
Labour force status,Employment rate,,70.1
Labour force status,Unemployment rate,,5.6
Work activity during the reference year,Total population aged 15 years and over by work activity during the reference year - 25% sample data,,80560
Work activity during the reference year,  Did not work,,19325
Work activity during the reference year,  Worked,,61230
Work activity during the reference year,    Worked full year; full time,,35285
Work activity during the reference year,    Worked part year and/or part time,,25950
Work activity during the reference year,Average weeks worked in reference year,,43.7
Class of worker,Total labour force aged 15 years and over by class of worker - 25% sample data,,59815
Class of worker,  Class of worker - not applicable,,1040
Class of worker,  All classes of workers,,58780
Class of worker,    Employee,,52295
Class of worker,    Self-employed,,6485
Occupation - National Occupational Classification (NOC) 2016,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,,59815
Occupation - National Occupational Classification (NOC) 2016,  Occupation - not applicable,,1035
Occupation - National Occupational Classification (NOC) 2016,  All occupations,,58780
Occupation - National Occupational Classification (NOC) 2016,    0 Management occupations,,8810
Occupation - National Occupational Classification (NOC) 2016,    1 Business; finance and administration occupations,,10510
Occupation - National Occupational Classification (NOC) 2016,    2 Natural and applied sciences and related occupations,,6005
Occupation - National Occupational Classification (NOC) 2016,    3 Health occupations,,2915
Occupation - National Occupational Classification (NOC) 2016,    4 Occupations in education; law and social; community and government services,,7195
Occupation - National Occupational Classification (NOC) 2016,    5 Occupations in art; culture; recreation and sport,,1480
Occupation - National Occupational Classification (NOC) 2016,    6 Sales and service occupations,,12395
Occupation - National Occupational Classification (NOC) 2016,    7 Trades; transport and equipment operators and related occupations,,6665
Occupation - National Occupational Classification (NOC) 2016,    8 Natural resources; agriculture and related production occupations,,605
Occupation - National Occupational Classification (NOC) 2016,    9 Occupations in manufacturing and utilities,,2205
Industry - North American Industry Classification System (NAICS) 2012,Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,,59820
Industry - North American Industry Classification System (NAICS) 2012,  Industry - NAICS2012 - not applicable,,1040
Industry - North American Industry Classification System (NAICS) 2012,  All industry categories,,58775
Industry - North American Industry Classification System (NAICS) 2012,    11 Agriculture; forestry; fishing and hunting,,460
Industry - North American Industry Classification System (NAICS) 2012,    21 Mining; quarrying; and oil and gas extraction,,95
Industry - North American Industry Classification System (NAICS) 2012,    22 Utilities,,325
Industry - North American Industry Classification System (NAICS) 2012,    23 Construction,,3550
Industry - North American Industry Classification System (NAICS) 2012,    31-33 Manufacturing,,5905
Industry - North American Industry Classification System (NAICS) 2012,    41 Wholesale trade,,3925
Industry - North American Industry Classification System (NAICS) 2012,    44-45 Retail trade,,6950
Industry - North American Industry Classification System (NAICS) 2012,    48-49 Transportation and warehousing,,3710
Industry - North American Industry Classification System (NAICS) 2012,    51 Information and cultural industries,,1510
Industry - North American Industry Classification System (NAICS) 2012,    52 Finance and insurance,,4615
Industry - North American Industry Classification System (NAICS) 2012,    53 Real estate and rental and leasing,,1045
Industry - North American Industry Classification System (NAICS) 2012,    54 Professional; scientific and technical services,,5470
Industry - North American Industry Classification System (NAICS) 2012,    55 Management of companies and enterprises,,180
Industry - North American Industry Classification System (NAICS) 2012,    56 Administrative and support; waste management and remediation services,,2345
Industry - North American Industry Classification System (NAICS) 2012,    61 Educational services,,4710
Industry - North American Industry Classification System (NAICS) 2012,    62 Health care and social assistance,,4965
Industry - North American Industry Classification System (NAICS) 2012,    71 Arts; entertainment and recreation,,955
Industry - North American Industry Classification System (NAICS) 2012,    72 Accommodation and food services,,2940
Industry - North American Industry Classification System (NAICS) 2012,    81 Other services (except public administration),,2085
Industry - North American Industry Classification System (NAICS) 2012,    91 Public administration,,3040
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,,56485
Place of work status,  Worked at home,,4305
Place of work status,  Worked outside Canada,,280
Place of work status,  No fixed workplace address,,5930
Place of work status,  Worked at usual place,,45980
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,,45975
Commuting destination,  Commute within census subdivision (CSD) of residence,,12320
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,6150
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,27420
Commuting destination,  Commute to a different province or territory,,85
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,,51905
Main mode of commuting,  Car; truck; van - as a driver,,43045
Main mode of commuting,  Car; truck; van - as a passenger,,2740
Main mode of commuting,  Public transit,,4260
Main mode of commuting,  Walked,,1145
Main mode of commuting,  Bicycle,,200
Main mode of commuting,  Other method,,510
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,,51900
Commuting duration,  Less than 15 minutes,,9980
Commuting duration,  15 to 29 minutes,,11020
Commuting duration,  30 to 44 minutes,,13915
Commuting duration,  45 to 59 minutes,,7355
Commuting duration,  60 minutes and over,,9635
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,,51900
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,,4170
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,,9210
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,,15585
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,,10160
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,,5755
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,,7020
Language used most often at work,Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,,62905
Language used most often at work,  Single responses,,61890
Language used most often at work,    Official languages,,61470
Language used most often at work,      English,,61200
Language used most often at work,      French,,270
Language used most often at work,    Non-official languages,,420
Language used most often at work,      Aboriginal languages,,0
Language used most often at work,        Algonquian languages,,0
Language used most often at work,          Blackfoot,,0
Language used most often at work,          Cree-Montagnais languages,,0
Language used most often at work,            Atikamekw,,0
Language used most often at work,            Montagnais (Innu),,0
Language used most often at work,            Moose Cree,,0
Language used most often at work,            Naskapi,,0
Language used most often at work,            Northern East Cree,,0
Language used most often at work,            Plains Cree,,0
Language used most often at work,            Southern East Cree,,0
Language used most often at work,            Swampy Cree,,0
Language used most often at work,            Woods Cree,,0
Language used most often at work,            Cree; n.o.s.,,0
Language used most often at work,          Eastern Algonquian languages,,0
Language used most often at work,            Malecite,,0
Language used most often at work,            Mi'kmaq,,0
Language used most often at work,          Ojibway-Potawatomi languages,,0
Language used most often at work,            Algonquin,,0
Language used most often at work,            Ojibway,,0
Language used most often at work,            Oji-Cree,,0
Language used most often at work,            Ottawa (Odawa),,0
Language used most often at work,          Algonquian languages; n.i.e.,,0
Language used most often at work,        Athabaskan languages,,0
Language used most often at work,          Northern Athabaskan languages,,0
Language used most often at work,            Babine (Wetsuwet'en),,0
Language used most often at work,            Beaver,,0
Language used most often at work,            Carrier,,0
Language used most often at work,            Chilcotin,,0
Language used most often at work,            Dene,,0
Language used most often at work,            Dogrib (Tlicho),,0
Language used most often at work,            Gwich'in,,0
Language used most often at work,            Sarsi (Sarcee),,0
Language used most often at work,            Sekani,,0
Language used most often at work,            Slavey-Hare languages,,0
Language used most often at work,              North Slavey (Hare),,0
Language used most often at work,              South Slavey,,0
Language used most often at work,              Slavey; n.o.s.,,0
Language used most often at work,            Tahltan languages,,0
Language used most often at work,              Kaska (Nahani),,0
Language used most often at work,              Tahltan,,0
Language used most often at work,            Tutchone languages,,0
Language used most often at work,              Northern Tutchone,,0
Language used most often at work,              Southern Tutchone,,0
Language used most often at work,          Athabaskan languages; n.i.e.,,0
Language used most often at work,        Haida,,0
Language used most often at work,        Inuit languages,,0
Language used most often at work,          Inuinnaqtun (Inuvialuktun),,0
Language used most often at work,          Inuktitut,,0
Language used most often at work,          Inuit languages; n.i.e.,,0
Language used most often at work,        Iroquoian languages,,0
Language used most often at work,          Cayuga,,0
Language used most often at work,          Mohawk,,0
Language used most often at work,          Oneida,,0
Language used most often at work,          Iroquoian languages; n.i.e.,,0
Language used most often at work,        Kutenai,,0
Language used most often at work,        Michif,,0
Language used most often at work,        Salish languages,,0
Language used most often at work,          Comox,,0
Language used most often at work,          Halkomelem,,0
Language used most often at work,          Lillooet,,0
Language used most often at work,          Okanagan,,0
Language used most often at work,          Shuswap (Secwepemctsin),,0
Language used most often at work,          Squamish,,0
Language used most often at work,          Straits,,0
Language used most often at work,          Thompson (Ntlakapamux),,0
Language used most often at work,          Salish languages; n.i.e.,,0
Language used most often at work,        Siouan languages,,0
Language used most often at work,          Dakota,,0
Language used most often at work,          Stoney,,0
Language used most often at work,          Siouan languages; n.i.e.,,0
Language used most often at work,        Tlingit,,0
Language used most often at work,        Tsimshian languages,,0
Language used most often at work,          Gitxsan (Gitksan),,0
Language used most often at work,          Nisga'a,,0
Language used most often at work,          Tsimshian,,0
Language used most often at work,        Wakashan languages,,0
Language used most often at work,          Haisla,,0
Language used most often at work,          Heiltsuk,,0
Language used most often at work,          Kwakiutl (Kwak'wala),,0
Language used most often at work,          Nuu-chah-nulth (Nootka),,0
Language used most often at work,          Wakashan languages; n.i.e.,,0
Language used most often at work,        Aboriginal languages; n.o.s.,,0
Language used most often at work,      Non-Aboriginal languages,,420
Language used most often at work,        Afro-Asiatic languages,,60
Language used most often at work,          Berber languages,,0
Language used most often at work,            Kabyle,,0
Language used most often at work,            Berber languages; n.i.e.,,0
Language used most often at work,          Cushitic languages,,0
Language used most often at work,            Bilen,,0
Language used most often at work,            Oromo,,0
Language used most often at work,            Somali,,0
Language used most often at work,            Cushitic languages; n.i.e.,,0
Language used most often at work,          Semitic languages,,55
Language used most often at work,            Amharic,,0
Language used most often at work,            Arabic,,40
Language used most often at work,            Assyrian Neo-Aramaic,,10
Language used most often at work,            Chaldean Neo-Aramaic,,0
Language used most often at work,            Harari,,0
Language used most often at work,            Hebrew,,10
Language used most often at work,            Maltese,,0
Language used most often at work,            Tigrigna,,0
Language used most often at work,            Semitic languages; n.i.e.,,0
Language used most often at work,          Afro-Asiatic languages; n.i.e.,,0
Language used most often at work,        Austro-Asiatic languages,,0
Language used most often at work,          Khmer (Cambodian),,0
Language used most often at work,          Vietnamese,,0
Language used most often at work,          Austro-Asiatic languages; n.i.e,,0
Language used most often at work,        Austronesian languages,,20
Language used most often at work,          Bikol,,0
Language used most often at work,          Cebuano,,0
Language used most often at work,          Fijian,,0
Language used most often at work,          Hiligaynon,,0
Language used most often at work,          Ilocano,,0
Language used most often at work,          Malagasy,,0
Language used most often at work,          Malay,,0
Language used most often at work,          Pampangan (Kapampangan; Pampango),,0
Language used most often at work,          Pangasinan,,0
Language used most often at work,          Tagalog (Pilipino; Filipino),,20
Language used most often at work,          Waray-Waray,,0
Language used most often at work,          Austronesian languages; n.i.e.,,0
Language used most often at work,        Creole languages,,0
Language used most often at work,          Haitian Creole,,0
Language used most often at work,          Creole; n.o.s.,,0
Language used most often at work,          Creole languages; n.i.e.,,0
Language used most often at work,        Dravidian languages,,20
Language used most often at work,          Kannada,,10
Language used most often at work,          Malayalam,,15
Language used most often at work,          Tamil,,0
Language used most often at work,          Telugu,,0
Language used most often at work,          Dravidian languages; n.i.e.,,0
Language used most often at work,        Hmong-Mien languages,,0
Language used most often at work,        Indo-European languages,,200
Language used most often at work,          Albanian,,0
Language used most often at work,          Armenian,,0
Language used most often at work,          Balto-Slavic languages,,35
Language used most often at work,            Baltic languages,,0
Language used most often at work,              Latvian,,0
Language used most often at work,              Lithuanian,,0
Language used most often at work,            Slavic languages,,35
Language used most often at work,              Belarusan,,0
Language used most often at work,              Bosnian,,0
Language used most often at work,              Bulgarian,,0
Language used most often at work,              Croatian,,10
Language used most often at work,              Czech,,0
Language used most often at work,              Macedonian,,0
Language used most often at work,              Polish,,25
Language used most often at work,              Russian,,0
Language used most often at work,              Serbian,,0
Language used most often at work,              Serbo-Croatian,,0
Language used most often at work,              Slovak,,0
Language used most often at work,              Slovene (Slovenian),,0
Language used most often at work,              Ukrainian,,0
Language used most often at work,              Slavic languages; n.i.e.,,0
Language used most often at work,          Celtic languages,,0
Language used most often at work,            Scottish Gaelic,,0
Language used most often at work,            Welsh,,0
Language used most often at work,            Celtic languages; n.i.e.,,0
Language used most often at work,          Germanic languages,,0
Language used most often at work,            Afrikaans,,0
Language used most often at work,            Danish,,0
Language used most often at work,            Dutch,,0
Language used most often at work,            Frisian,,0
Language used most often at work,            German,,0
Language used most often at work,            Icelandic,,0
Language used most often at work,            Norwegian,,0
Language used most often at work,            Swedish,,0
Language used most often at work,            Vlaams (Flemish),,0
Language used most often at work,            Yiddish,,0
Language used most often at work,            Germanic languages; n.i.e.,,0
Language used most often at work,          Greek,,0
Language used most often at work,          Indo-Iranian languages,,105
Language used most often at work,            Indo-Aryan languages,,95
Language used most often at work,              Bengali,,0
Language used most often at work,              Gujarati,,20
Language used most often at work,              Hindi,,10
Language used most often at work,              Kashmiri,,0
Language used most often at work,              Konkani,,0
Language used most often at work,              Marathi,,0
Language used most often at work,              Nepali,,0
Language used most often at work,              Oriya (Odia),,0
Language used most often at work,              Punjabi (Panjabi),,25
Language used most often at work,              Sindhi,,0
Language used most often at work,              Sinhala (Sinhalese),,0
Language used most often at work,              Urdu,,30
Language used most often at work,            Iranian languages,,10
Language used most often at work,              Kurdish,,0
Language used most often at work,              Pashto,,0
Language used most often at work,              Persian (Farsi),,10
Language used most often at work,            Indo-Iranian languages; n.i.e.,,0
Language used most often at work,          Italic (Romance) languages,,60
Language used most often at work,            Catalan,,0
Language used most often at work,            Italian,,0
Language used most often at work,            Portuguese,,10
Language used most often at work,            Romanian,,0
Language used most often at work,            Spanish,,40
Language used most often at work,            Italic (Romance) languages; n.i.e.,,0
Language used most often at work,        Japanese,,10
Language used most often at work,        Kartvelian languages,,0
Language used most often at work,          Georgian,,0
Language used most often at work,        Korean,,25
Language used most often at work,        Mongolic languages,,0
Language used most often at work,          Mongolian,,0
Language used most often at work,        Niger-Congo languages,,0
Language used most often at work,          Akan (Twi),,0
Language used most often at work,          Bamanankan,,0
Language used most often at work,          Edo,,0
Language used most often at work,          Ewe,,0
Language used most often at work,          Fulah (Pular; Pulaar; Fulfulde),,0
Language used most often at work,          Ga,,0
Language used most often at work,          Ganda,,0
Language used most often at work,          Igbo,,0
Language used most often at work,          Lingala,,0
Language used most often at work,          Rundi (Kirundi),,0
Language used most often at work,          Kinyarwanda (Rwanda),,0
Language used most often at work,          Shona,,0
Language used most often at work,          Swahili,,0
Language used most often at work,          Wolof,,0
Language used most often at work,          Yoruba,,0
Language used most often at work,          Niger-Congo languages; n.i.e.,,0
Language used most often at work,        Nilo-Saharan languages,,0
Language used most often at work,          Dinka,,0
Language used most often at work,          Nilo-Saharan languages; n.i.e.,,0
Language used most often at work,        Sign languages,,50
Language used most often at work,          American Sign Language,,50
Language used most often at work,          Quebec Sign Language,,0
Language used most often at work,          Sign languages; n.i.e,,0
Language used most often at work,        Sino-Tibetan languages,,45
Language used most often at work,          Chinese languages,,40
Language used most often at work,            Cantonese,,15
Language used most often at work,            Hakka,,0
Language used most often at work,            Mandarin,,25
Language used most often at work,            Min Dong,,0
Language used most often at work,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,0
Language used most often at work,            Wu (Shanghainese),,0
Language used most often at work,            Chinese; n.o.s.,,0
Language used most often at work,            Chinese languages; n.i.e.,,0
Language used most often at work,          Tibeto-Burman languages,,0
Language used most often at work,            Burmese,,0
Language used most often at work,            Karenic languages,,0
Language used most often at work,            Tibetan,,0
Language used most often at work,            Tibeto-Burman languages; n.i.e.,,0
Language used most often at work,        Tai-Kadai languages,,0
Language used most often at work,          Lao,,0
Language used most often at work,          Thai,,0
Language used most often at work,          Tai-Kadai languages; n.i.e,,0
Language used most often at work,        Turkic languages,,0
Language used most often at work,          Azerbaijani,,0
Language used most often at work,          Turkish,,0
Language used most often at work,          Uyghur,,0
Language used most often at work,          Uzbek,,0
Language used most often at work,          Turkic languages; n.i.e.,,0
Language used most often at work,        Uralic languages,,0
Language used most often at work,          Estonian,,0
Language used most often at work,          Finnish,,0
Language used most often at work,          Hungarian,,0
Language used most often at work,          Uralic languages; n.i.e.,,0
Language used most often at work,        Other languages; n.i.e.,,0
Language used most often at work,  Multiple responses,,1010
Language used most often at work,    English and French,,335
Language used most often at work,    English and non-official language,,670
Language used most often at work,    French and non-official language,,0
Language used most often at work,    English; French and non-official language,,10
Other language used regularly at work,Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,,62905
Other language used regularly at work,  None,,59625
Other language used regularly at work,  English,,420
Other language used regularly at work,  French,,1080
Other language used regularly at work,  Non-official language,,1740
Other language used regularly at work,    Aboriginal,,0
Other language used regularly at work,    Non-Aboriginal,,1740
Other language used regularly at work,  English and French,,0
Other language used regularly at work,  English and non-official language,,15
Other language used regularly at work,  French and non-official language,,30
Other language used regularly at work,  English; French and non-official language,,0
Mobility status - Place of residence 1 year ago,Total - Mobility status 1 year ago - 25% sample data,,107350
Mobility status - Place of residence 1 year ago,  Non-movers,,93260
Mobility status - Place of residence 1 year ago,  Movers,,14095
Mobility status - Place of residence 1 year ago,    Non-migrants,,5720
Mobility status - Place of residence 1 year ago,    Migrants,,8370
Mobility status - Place of residence 1 year ago,      Internal migrants,,7265
Mobility status - Place of residence 1 year ago,        Intraprovincial migrants,,6885
Mobility status - Place of residence 1 year ago,        Interprovincial migrants,,385
Mobility status - Place of residence 1 year ago,      External migrants,,1100
Mobility status - Place of residence 5 years ago,Total - Mobility status 5 years ago - 25% sample data,,99630
Mobility status - Place of residence 5 years ago,  Non-movers,,50965
Mobility status - Place of residence 5 years ago,  Movers,,48665
Mobility status - Place of residence 5 years ago,    Non-migrants,,17445
Mobility status - Place of residence 5 years ago,    Migrants,,31220
Mobility status - Place of residence 5 years ago,      Internal migrants,,25720
Mobility status - Place of residence 5 years ago,        Intraprovincial migrants,,24440
Mobility status - Place of residence 5 years ago,        Interprovincial migrants,,1280
Mobility status - Place of residence 5 years ago,      External migrants,,5500
